,Sex,Hometown,Bio_personality,food_drink,hob_inter,smoking,refer_roommate,Cleanliess,Privacy
866,Nam,Tuyen Quang,khó giao tiếp,nước ngọt có ga thích uống trà sữa,vi vu dạo phố tìm hiểu về văn hóa các nơi kiếm tiền xem phim nghe nhạc,Biết nghĩ,khoa học chụp ảnh thể dục code cũng không biết thích gì,1,9
867,Nữ,Thai Nguyen ,dễ thích ứng hiếm khi thấy vui,matcha đá xay nướng ăn cơm gia đình tự nấu bánh mì... đồ chiên,đọc tiểu thuyết,"gọn gàng, giữ vệ sinh và có trách nhiệm ",ở nhà một mình lướt mxh ,8,9
868,Nam,Lang Son,thích tìm hiểu hoạt bát thích 1 mình ít nói với người lạ,có ăn là được chanh muối,thế giới thể hình cờ vua,Vui vẻ chân thật,cafe ngủ coi phim ăn chạy bộ,8,2
869,Nữ,Kien Giang,dễ hòa nhập hướng ngoại full time nói rất nhiều,gà nói chung . bún mắm trà đào thì cái gì mình cũng ghiền nhưng điều kiện là phải nấu ngon,nhiếp ảnh mầy mò linh kiện máy tính ăn uống esports đi từ thiện,"Vui tính, đơn giản",chơi game thích chill code,3,7
870,Nam,Ninh Thuan,hướng nội thích tự do,xôi trà đào… spaghetti bánh bông lan dâu,bơi lội,"gọn gàng sạch sẽ, dễ ăn uống, không quá kĩ tính, hòa đồng, không tệ nạn, biết lắng nghe/ tôn trọng lẫn nhau, ngành gì cũng được (khác ngành thì dễ nhờ hơn :>), v.v",đu otp,5,9
871,Nam,Vung Tau,là một người nhiệt tình tự do,cơm chiên trứng,đạp xe đạp chơi cờ vua thích hát,hòa đồng dễ chịu,nghệ thuật hacking bói toán,4,2
872,Nam,Tien Giang,thích đi chơi đây đó nhưng cũng hơi trầm tính khi ở với người lạ hướng nội trầm tính đôi lúc hướng ngoại hướng nội nhưng thích đi chơi,snack khoai tây táo,trang trí phòng ngủ,"sạch sẻ, biết tôn trọng không gian riêng, có trách nhiệm và ý thức",vân vân... nghe nhạc phụ kiện công nghệ o buổi sáng,9,2
873,Nữ,Hoa Binh,trầm trầm nhưng lúc cần vẫn vui hết mình,không có cụ thể thích 1 món ăn hay đồ uống nào bia mì quảng,kinh quẻ,"sạch sẽ, thoải mái, giỏi, hòa đồng",vẽ decor phòng … làm mô hình badminton,5,1
874,Nam,Quang Ninh,dễ làm quen với bạn mới nhưng thường quen người hợp tính cách mới nói nhiều.,canh trứng cà chua đặc biệt là mì cay coca cola…,đá cầu hát mình thích ngôn ngữ phong thủy,Yên tĩnh,quay tik tok pokemon đi đây đi đó với bạn bè( một mình) chiêm tinh học bơi lội.,7,8
875,Nữ,Thai Binh,hướng nội trầm tính ít nói với người lạ,ăn được uống được bánh bò phở xào chỉ cần không cay là được suit my taste is fine,cầu lông ...) thích chơi game offline,"1 người tốt bụng , dễ gần",thích tranh biện xem phim đặc biệt là thích nhạc của sơn tùng m-tp học tiếng nhật bơi em thích chơi nhạc cụ,8,8
876,Nữ,Vinh Long,là một người 2 hướng hiền hoà nóng nảy - ưu tư .... nhưng thích trải nghiệm điều mới,coca cola ham bơ gơ,thích bơi xem phim đặc biệt là thích nhạc của sơn tùng m-tp,Vui tính và sạch sẽ ,stress thì mình đâm đầu vô luôn,4,8
877,Nữ,Ha Nam,khá hướng nội. thích sạch sẽ,nước dừa đồ ăn healthy kem ốc quế... thích caffee,bói tử vi bơi lội.,Biết điều,lướt mạng holywood,7,6
878,Nữ,Vinh Long,nói nhiều với người quen,ăn vặt,chiêm tinh,"người vui tính, hòa đồng",travelling đánh cờ vua kinh quẻ,3,9
879,Nữ,Ha Tinh,thích sạch sẽ thích cứ gái ít nói nhưng thích đám đông,revive,khoa học,Hoà đồng lịch sự ngoan ngoãn ko quậy phá và vui vẻ,thích đồ ăn nhạt,1,6
880,Nữ,Hung Yen,là một người ít nói,bánh tép mỳ xào pizaa ...,âm nhạc ( nghe nhạc),"Người hoà đồng, hài hước, quan tâm",phim truyền hình đi dạo ngắm cây,8,3
881,Nữ,Vinh Phuc,thích tìm hiểu bán hướng nội ambivert lười giao tiếp...,món nào mình thấy hợp thì đều thích ăn ........; nói chung là mình thích ăn rất nhiều món :3 đồ ăn hàn quốc,thích xem phim thích môn toán,Giống tính cách càng tốt nhưng k nên là bạn thân,ngủ:)) tắm (2l/ngày),7,3
882,Nam,Tra Vinh,thích thử thách,bột sò mắm chưng,thích nghe nhạc vẽ tranh đi dạo tiền lưới fb,Yên tĩnh,phim truyền hình kĩ thuật cafe mình thích hát,4,7
883,Nam,Son La,có phần hơi thích kiểm soát là 1 ng ít nói hướng nội cà thích ở 1 mình thích ở nhà hơn là ở ngoài,mùi hương (hành tỏi tiêu ớt sả đầy đủ),tụ tập với bạn bè vận động thể lực (nhẹ) chơi đàn,SẠCH! Gọn gàng!!!!,thường hay quan tâm những tin tức về nó thể dục,1,5
884,Nam,Yen Bai,thích có ko gian riêng tư 1 mình bình thường 🤤 mình là một người khá rụt rè khi ở một mình. .... nhưng thích trải nghiệm điều mới,"tôm redbull
không thích cafe gói đồ cay bún thịt sườn",code bơi lội,"Là một người biết cách bắt đầu câu chuyện tại vì mình ít nói, tôn trọng ý kiến của nhau, không đòi mói, ngay thẳng, hoà đồng","bóng bàn thích:
1. thiên nhiên cây cỏ
2. bóng bàn ngủ xem các show giải trí thực tế",8,4
885,Nữ,Vung Tau,thích tìm hiểu kiểu người yên tĩnh hay ngại là 1 người ít nói hướng nội,fanta vị nho : d hủ tiếu trừ đồ quá ngọt quá mặn thì cái gì cũng có thể ăn snack,coi phim hoạt hình tháo xe cộ,thoải mái là ổn,lập trình học hóa,9,4
886,Nam,Nghe An,trầm tính. hướng ngoại nhung thích ở một mình,đồ chiên,o buổi chiều,Vui vẻ chân thật,nhiếp ảnh xem các show giải trí thực tế cũng không biết thích gì được ăn tâm lí học,7,7
887,Nữ,Binh Duong,ồn ào ghét phiền phức,trà olong món nào mình thấy hợp thì đều thích ăn,tỉ tê những câu chuyện đời thường sâu sắc với mọi người xung quanh. o buổi chiều edit,"Có kỷ luật, nề nếp, hoà đồng, vui tính",ráp pc o buổi tối,2,2
888,Nữ,Phu Tho,thích cứ gái v.v ít bạn không thích nói nhiều yêu thiên nhiên,udon bún cá châu đốc bò kho táo,thần số học,Cùng ngành,tìm hiểu những kiến thức đa ngành,4,1
889,Nam,Ca Mau,thích tụ tập bạn bè thân thiết ở nhà,mì xào mì trộn kem ốc quế... mì trộn tắc ,học toán tập trung nghiên cứu một vấn đề nào đó lướt mxh,"ngành công nghệ thông tin, tính tình vui tính, hòa đồng",khám phá xung quanh phim hoạt hình,5,4
890,Nam,Tuyen Quang,thích một mình nhưng lại sợ cô đơn khó giao tiếp có thể đi ăn ngoài nếu được mời thích đám đông người đang học trường fpt,pepsi bị dị ứng hải sản có vỏ mì nước lọc,code làm mô hình,"Thân thiện, hoà đồng, chăm chỉ, siêng năng, ăn ở sạch sẽ, gọn gàng.",thích tiếng anh shopping uống cà phê xem mv ca nhạc,8,6
891,Nam,Thai Binh,nhạy cảm tốt bụng hòa đồng,pepsi trà chanh trân châu bia bún bò phở hu tiu com tam,android đánh cờ vua xem phim đàn guzheng tiếng anh,"không tự tiện, biết nghĩ cho người khác, hoạt bát, hài hước",android nói chuyện cùng bạn bè trồng cây đọc truyện,6,6
892,Nữ,Ninh Thuan,bạo lọan,mỳ quảng không rõ matcha đá xay,lịch sử chơi hame nhạc cụ tham gia hoạt động ngoại khoá,"Hoà đồng, cùng ngành, lanh lợi",viết lách học công nghệ thích vẽ coi phim ngôn ngữ,1,9
893,Nữ,Bac Kan,người hướng nội có thể mời người ta đi ăn nếu vui,ăn cơm mẹ nấu bánh . nước coca . mì cay... kem hủ tiếu …. các loại thịt nướng,thích khoa học,"Biết lắng nghe, giữ vệ sinh",anh văn o buổi sáng thích môn toán,6,6
894,Nữ,Khanh Hoa,đôi khi hướng ngoại,cơm ngon còn bánh bao hơi dở các đồ ăn hỗ trợ cho việc giảm cân thích ăn đồ việt nam,o buổi chiều tập trung nghiên cứu một vấn đề nào đó,"Sạch sẽ, hoà đồng",lắp ráp xem mv ca nhạc xem phim nghe nhạc,3,8
895,Nữ,Khanh Hoa,hướng nội ít nói nhưng hoà đồng thân thiện,ăn cơm gia đình tự nấu cháo gà khô các loại,nghe nhạc mọi lúc mọi nơi ; đọc tiểu thuyết ; thiết kế hình ảnh logo banner poster xem tin tức công nghệ ăn,"vui tính, tích cực",bóng chuyền đọc truyện xe cộ,2,4
896,Nam,Tay Ninh,là người hướng nội người đang học trường fpt .... nhưng thích trải nghiệm điều mới hòa đồng không thích đám đông lắm nhưng dễ hòa nhập,sting rau củ pepsi vị chanh không calo không thích ăn cay lắm,học nhóm online,"sạch sẽ và nói ít 
<3",thích học ngôn ngữ anh các hoạt động phải chạy,8,7
897,Nam,Nam Dinh ,thích đông vui hương ngoại nhưng khó kết bạn với hơi trầm hướng nội thích không gian yên tĩnh trải nghiệm,"1. tofu
2. bánh mì ( thích mọi loại bánh mì)
3. nước ép",xem phim nghe nhạc thường hay quan tâm những tin tức về nó,"sạch sẽ, chăm chỉ, dễ chịu",anh văn phụ kiện công nghệ game mobile thế giới,8,4
898,Nữ,Quang Tri,một người hướng nội nhưng cũng thích xã giao với mọi người nhạy cảm thường thích ở một mình,đồ ăn mà dai dai kiểu như bánh bột lọc hay bánh canh í. đồ ăn hàn. đồ uống healthy,cầu lông ko thích bị ép buộc chơi thể thao thích chơi bóng rổ âm nhạc ( nghe nhạc),"Có trách nhiệm, sạch sẽ",video game thích đi chơi với bạn bè bơi lội kinh quẻ bơi lội.,4,6
899,Nữ,Bac Ninh,nội tâm vui nhộn thích ở 1 mình một người vui vẻ,đồ ăn vặt hoặc đồ hàn món nào mình thấy hợp thì đều thích ăn,tỉ tê những câu chuyện đời thường sâu sắc với mọi người xung quanh.,"Sạch sẽ, trách nhiệm ",nhảy dây tin học,5,3
900,Nam,Binh Dinh,người thân extrovert cống hiến hết mình thoải mái thích trò chuyện,lẩu gà trà sữa,chiêm tinh học ios đi phượt chính trị,Hoà đồng ,trống chăn nuôi viết lách phá máy tính,3,3
901,Nữ,Long An,hoà đồng với mọi người ghét sự cô đơn chỉ thích ngủ một mình thích thử thách,bún rêu các món nướng pepsi mì xào,kinh quẻ coi phim anime chiêm tinh đi du lịch linux,"Gọn gàng , sạch sẽ ",bới lội thích đi từ thiện,9,7
902,Nam,Quang Ngai,mình khá ít nói cũng như là hướng nội thiên về cảm xúc nhiều hơn lí trí,bún đậu mắm tôm bún bò phở hu tiu com tam bò kho đồ ăn ngọt,shopping thích môn toán thích những gì cần tư duy logic,Vui tính  thân thiện ,bóng đá trang điểm,4,9
903,Nữ,Quang Ninh,náo động vùng trời :),nem nướng sushi fanta vị nho : d sữa milo,thích đồ ăn nhạt hóng drama nghệ thuật thích đọc sách thường hay quan tâm những tin tức về nó,"Mình thích người cùng phòng vui tính, hiền lành",thích vẽ thích môn toán đạp xe đạp tụ tập với bạn bè,1,5
904,Nữ,Nam Dinh ,thích vui vẻ sáng nắng chiều mưa,mì nước lọc cháo gà ít mỡ thích ăn mì cay,đánh cờ vua xem phim đặc biệt là thích nhạc của sơn tùng m-tp,"Hòa đồng, thẳng thắn, không nói xấu sau lưng, tốt bụng",bói toán đi tập thể dục đọc truyện tranh tìm hiểu về văn hóa các nơi tham gia hoạt động ngoại khoá,3,7
905,Nam,Thai Nguyen ,là người vui tính là một người hướng nội hoạt bát,đồ ngọt trừ đồ đắng ra thì mình đều ăn được đi ăn với bạn,đánh cầu lông chơi thể thao đi dạo nhạc cụ phá máy tính,"Vui tính, hoà đồng, nhiều chuyện",diy.. đánh cờ vua thích ngủ,5,6
906,Nữ,Quang Ninh,lúc nói nhiều lúc nói ít,ăn cơm gia đình tự nấu xoài lắc đồ ăn ngọt phở… bò né,thường thức tác phẩm nghệ thuật,"Biết nấu ăn, chăm chỉ, biết làm việc nhà giống mẹ thì càng tốt ",thích đi du lịch thích đi karaoke lập trình,6,2
907,Nữ,Khanh Hoa,hướng nội thích không gian yên tĩnh là một người nội có thể đi ăn ngoài nếu được mời,lẩu gà phở); thức uống: nước có ga xoài chua chấm muối ớt chua lè bánh cam,lịch sử,"vui tính, hoà đồng, sạch sẽ, gọn gàng, chung sở thích",đi dạo ngắm cây vi vu dạo phố chơi yasua holywood,4,9
908,Nữ,Cao Bang,cực đoan,bún trộn,tập thể dục ngoài trời thích hát,"Vui tính, biết điều",thiết kế,4,9
909,Nữ,Kien Giang,thích yên tĩnh,đồ ăn: các món nước (bún không có cụ thể thích 1 món ăn hay đồ uống nào không rõ cơm chiên trứng,tin học thiên văn học đi cắm trại thích xem phim,"Hoà đồng, dễ chịu",thích chơi cầu lông,8,8
910,Nữ,Vung Tau,ít nói nhưng hay chia sẻ với mn mình là dễ gần là người ít nói  một người ít nói hướng nội,bún bò phở hu tiu com tam,hít thở không khí trong lành ở công viên nghe nhạc xem phim đi lượn đường thích học thích code,Cùng ngành,"đi từ thiện o buổi sáng thích:
1. thiên nhiên cây cỏ
2. bóng bàn",2,4
911,Nam,Binh Duong,mình ambivert vui vẻ... ko thích đi chơi,các món ăn truyền thống hoặc món ăn đường phố việt nam moutain dew bò né,uống cà phê hát,"Thật sự như mình nói trên, mình thích ở 1 mình thôi 😶",bới lội chính trị thích nghe nhạc đi dạo ngắm cây thích học ngôn ngữ anh,1,9
912,Nữ,An Giang,cần cù một người hướng nội thích sự im lặng hướng lung tung hướng ngoại nhung thích ở một mình,bánh ngọt chill bún riêu,vân vân... đàn phá máy tính đồ ăn ngọt,vui tính hòa đồng,trang điểm được ăn thích bơi đá bóng phim,1,6
913,Nữ,Lao Cai,tình cảm hướng ngoại,trà đào cơm chiên các loại bông lan trứng muối bánh plan mì xào mì trộn,.. thiên văn học,"Vui tính, nói nhiều, gọn ràng sạch sẽ, hoạt bát",đi dạo,3,3
914,Nam,Lam Dong,trải nghiệm là người hướng nội 1 tháng chắc 1-2 lần) để giao lưu,các loại mì ngũ cốc hoặc các loại nước có gas dừa dầm........,hacking đi chơi ngoài trời … vận động thể lực (nhẹ),Giàu,chụp ảnh chơi cầu lông,4,3
915,Nữ,Dak Lak,thích trò chuyện,kfc phở bò phở xào bánh bông lan dâu mì ý,đi chơi hóng drama thích đi karaoke nấu ăn,không có ạ,cũng không biết thích gì,6,5
916,Nam,Bac Kan,tùy lúc thích đông vui là một người thiếu ngủ,lẩy thái bánh tráng,chơi vape nghe nhạc phim hoạt hình đi đây đi đó với bạn bè( một mình),"Người vui tính, gọn gàng, ngăn nắp, trung thực, thật thà",tiêu tiền.,8,7
917,Nam,Yen Bai,o tập thể thích một mình nhưng lại sợ cô đơn,miến trộn hũ tiếu không có cụ thể thích 1 món ăn hay đồ uống nào nước ép táo,code đọc truyện ngủ:)) cầu long. học hỏi,thằng bạn thích hút thuốc,đi chơi ngoài trời,5,2
918,Nam,Binh Thuan,hơi hướng nội,món nào chay đều thích canh trứng cà chua trà đào đồ hàn,tiền ngắm bầu trời,"Vui tính, dễ nói chuyện, tiền bạc rõ ràng, biết làm việc nhà, chia việc nhà thì phải lm, gọn gàng, dùng đồ của ng khác thì phải biết mượn",ăn uống chụp ảnh xem phim cũng không biết thích gì,7,9
919,Nữ,Bac Lieu,1 tháng chắc 1-2 lần) để giao lưu lười giao tiếp... thích tự do nhưng lại thích giao lưu =)) thích sống ở trọ,cái gì cũng thích ăn,tiền o buổi tối thích chill đánh võ,"Vui vẻ, hòa đồng, biết nhậu",xem mv ca nhạc,4,6
920,Nữ,Quang Ngai,nhộn nhịp hướng nội nói nhiều làm quen nhiều bạn mới quan tâm người khác,bún trộn eatclean mì cay nước ép.,"o buổi chiều edit thích đi chơi với bạn bè thích:
1. thiên nhiên cây cỏ
2. bóng bàn",sạch sẽ và không ích kỷ,ngủ coi phim ăn,8,7
921,Nữ,Binh Dinh,tốt bụng năng động 1 tháng chắc 1-2 lần) để giao lưu độc lập,bánh tráng bún đậu trà sữa canh trứng cà chua,coding mac os thích chơi với chó mèo,"Vui tính, dễ nói chuyện, hoà đồng.",thiên văn học chơi đàn piano mình thích xem phim đọc sách.. tiếng anh,6,2
922,Nữ,Quang Binh,độc lập thích giao tiếp lạc quan năng động chia sẽ hướng lung tung,bánh bông lan dâu ăn đồ ngọt uống nước ngọt đồ ngọt olong cá,ăn,Hoà đồng ,uống cà phê thể thao ngoại ngữ đồ ăn ngọt,7,5
923,Nữ,Binh Thuan,thích một mình lắng nghe là một người khiêm nhường,các loại lẩu các loại thức ăn nhanh socola ngọt ngào có chút đắng mình thích uống trà sữa,android,hòa đồng,học hóa toán học thích đọc sách âm nhạc ( nghe nhạc) đọc tiểu thuyết,5,3
924,Nữ,Quang Ngai,mê chơi đá gà người đang học trường fpt một người vui vẻ một người ít nói hướng nội thích cứ gái,cá hồi,thích tranh biện,Chung ngành sạch sẽ và dễ tính,chơi thể thao hít thở không khí trong lành ở công viên,3,3
925,Nữ,Ca Mau,cũng hơi hướng ngoại hướng ngoại vui vẻ hòa đồng tích cực tùy lúc nhạy cảm,7749 loại mắm. không thích đồ ăn chứa quá nhiều dầu mỳ hoành thánh mình rất thích đồ ăn vặt ăn đồ cay mì cay trà sữa,phong thủy ráp pc,"Hoà đồng, cùng ngành, lanh lợi",chiêm tinh học thich chơi thể thao võ mình thích chạy bộ,2,1
926,Nam,Ca Mau,lúc này lúc kia hòa đồnh mình là dễ gần,coca cola…,sở thích của mình là thay vì thoát khỏi áp lực thế giới vẽ tranh thích khoa học,"sạch sẽ, hòa đồng, tôn trọng không gian chung, thời gian của người khác, và có trách nhiệm",bói toán xem phim hàn …. thích học ngôn ngữ anh bóng bàn,1,4
927,Nữ,Hau Giang ,là người thích ở một mình không thích nói nhiều là một người thiếu ngủ dễ quạu dễ nguôi tôi là một người ít nói,pizaa ... khoai tây lắc mỳ trộn,xem các show giải trí thực tế phim hành động đàn guzheng,"Tôn trọng không gian riêng tư của người khác, sạch sẽ, chùi dọn phòng, im lặng vào ban đêm",thích đọc sách,8,4
928,Nam,Ha Giang,kiểu người ít nói nhưng thích đám đông hướng ngoại vui vẻ hòa đồng hướng nội + ngoại part time đôi khi ko thích chia sẻ nhiều lắm,thích đồ ăn có trứng muối,thich chơi thể thao võ nấu ăn viết lách thích học bài,người vui tính hòa ,ngắm cảnh,3,8
929,Nam,Soc Trang,trầm trầm nhưng lúc cần vẫn vui hết mình thích tìm hiểu thích đi lang thang một mình thích giao lưu,cà phê moutain dew . ham bơ gơ phở xào,ios mua sắm hacking chơi đàn piano,"chung ngành học, vui vẻ, hòa đồng, sạch sẽ",chơi cờ vua mầy mò linh kiện máy tính thích học thích code lưới fb,7,7
930,Nam,Quang Tri,thích đi các hoạt động xã hội thích sạch sẽ dễ bị lung lay bởi cảm xúc vui vẻ sáng nắng chiều mưa,7749 loại mắm. không thích đồ ăn chứa quá nhiều dầu đồ nướng bánh canh,bói toán tám chuyện,"Hoà đồng, tôn trọng không gian riêng tư ",du lịch đàn guzheng,8,2
931,Nam,Long An,đôi lúc hướng ngoại hiếm khi thấy vui mình là một người khá rụt rè khi ở một mình. ít nói hướng nội có xu hướng ambivert,ăn cơm gia đình tự nấu,xem tv series phong thủy làm mô hình cầu long. tháo,"Hiền, học giỏi (chung ngành càng tốt), có đạo đức, không quậy phá, cùng nhau đi chill",chơi bóng rổ game đi cắm trại thích học thích code edit,2,2
932,Nữ,Ha Tinh,thiên về cảm xúc nhiều hơn lí trí thích đi lang thang một mình lười làm việc nhà cá tính mạnh,no,bói tử vi thích học ngôn ngữ anh chạy xe đạp xe,vui tính hòa đồng,diy..,8,9
933,Nữ,Phu Yen,thích sạch sẽ hướng nội khi không có ai là một ambivert,cháo gà thích caffee mứt; các loại món nước như hủ tiếu,xem tv series,"HIỀN HÒA , GỌN GÀNG",đi ăn,3,3
934,Nữ,Hau Giang ,ít nói nhưng hay chia sẻ với mn linh hoạt năng động thích được đi chơi thích thử thách,đặt biệt là trà sữa beer,được ăn,Lắng nghe,mua sắm đi đây đi đó với bạn bè( một mình) tiếng anh lướt mxh các hoạt động phải chạy,8,6
935,Nam,Quang Nam,vui vẻ... vui vẻ…,chỉ thích cafe phin,tâm lý học,"Vui tính, đơn giản",ko bóng chuyền decor phòng ngắm cảnh,5,6
936,Nam,Ninh Binh,hoặc có backup) mình ambivert thích nghệ thuật là 1 ng ít nói hướng nội cà thích ở 1 mình,bánh tráng trộn bánh căn các loại mì,phụ kiện công nghệ o buổi tối sở thích của mình là thay vì thoát khỏi áp lực,"HIỀN HÒA , GỌN GÀNG",call điện thoại thích nhảy,6,3
937,Nam,Bac Ninh,hướng ngoại thích giao tiếp vui vẻ hoà đồng thích đi ra quán cafe để học bài,đồ ăn healthy ......... các loại mì phở mỳ xào,cafe thích học bài bóng đá android,"Một người hiểu biết rộng , biết cách giúp đỡ trong những hoàn cảnh éo le( không nhất thiết cùng quê )",xem phim đặc biệt là thích nhạc của sơn tùng m-tp ko thích gì hết đọc truyện tranh nhảy dây lướt mạng,8,3
938,Nam,Ben Tre,hiền hoà lowkey,ăn cơm mẹ nấu,đi chơi cùng bạn bè người thân thiên văn học,"Cầu tiến, luôn ham học hỏi, phát triển bản thân",môn nào vui thì môn đó chơi. ví dụ: đá bóng dù trên game hay ngoài đời đều có sự kịch tính linux thích động vật trống tập thể dục ngoài trời,2,4
939,Nam,Yen Bai,nói nhiều với người quen khá hòa đồng dễ bắt chuyện đôi khi ko thích chia sẻ nhiều lắm hướng ngoại nhung thích ở một mình là 1 người ít nói hướng nội,đồ ăn nhanh cá mì gói hũ tiếu khô các loại,đi dạo ngắm cây trò chơi điện tử,vui tính,ngắm cảnh thích học bài thể thao làm gốm,5,2
940,Nữ,Dong Nai,chia sẽ khác trầm,các loại thức ăn nhanh nước ngọt miễn là nước ngọt có ga .........,chơi cầu lông,"Có trách nhiệm, sạch sẽ",trống trang trí phòng ngủ thích đọc shopping thể thao,6,6
941,Nữ,Hoa Binh,hoà đồng hướng nội nữa mùa thích tận hưởng không gian 1 mình là một người thiếu ngủ,gà nói chung kem .... paparoti,ăn uống,Bạn cùng phòng biết lùa gà,.. mình thích ngôn ngữ,2,2
942,Nữ,Binh Dinh,có trách nhiệm khó bắt chuyện với người lạ thích tận hưởng không gian 1 mình tìm người người làm đồ án tốt nghiệp chung. phần hướng nội nhiều hơn,thích ăn mì cay cá tra nhúng giấm bún đậu mắm tôm bánh tráng bún đậu trà sữa thích ăn trứng vịt lộn,bị người ta lùa gà dọn dẹp ko thích gì hết tấu hài,"vui tính, nói nhiều, chăm chỉ, sạch sẽ, hiền, ham chơi",đọc sách.. thích động vật thể thao pokemon mình thích hát,4,3
943,Nữ,Bac Ninh,hướng nội hướng nọpi hướng nội part time mình là một người thích vẽ năng động năng động,món nướng cơm cháy kho quẹt,hít thở không khí trong lành ở công viên các chương trình giải trí hích võ taekwondo,"Hòa đồng, cùng sở thích ",linux chăn nuôi,4,5
944,Nữ,An Giang,tình cảm,mình thích trà bí đao ngô gia bánh tàu hủ. các món nướng như cơm sườn cơm ngon còn bánh bao hơi dở thích ăn cá thác lác chiên,bóng rổ âm nhạc làm gốm tiền thích đi bộ,Vui vẻ,ngủ,5,3
945,Nữ,Hoa Binh,dễ hòa nhập thoải mái khi gia nhập,cơm tấm long xuyên,tìm hiểu những kiến thức đa ngành thích chụp ảnh hội hoạ học ngoại ngữ,vui vẻ hòa đồng,tắm (2l/ngày) chơi game phim hành động môn nào vui thì môn đó chơi. ví dụ: đá bóng dù trên game hay ngoài đời đều có sự kịch tính chơi nhạc,6,7
946,Nữ,Long An,lúc hướng ngoại là một người khiêm nhường là một người ít nói hướng nội nhưng cũng có thẻ hướng ngoại parttime,cút lộn rang me,coding bơi lội. thường hay quan tâm những tin tức về nó đọc sách mình thích ngôn ngữ,vui vẻ hoà đồn thân thiện tôn trọng lẫn nhau ,"lắp ráp thích:
1. thiên nhiên cây cỏ
2. bóng bàn thường thức tác phẩm nghệ thuật toán đu otp",3,7
947,Nam,Dong Nai,hướng nội thích ở một mình khó bắt chuyện với người lạ là 1 ng ít nói hướng nội cà thích ở 1 mình bạn bè.,ăn cơm,xem tin tức công nghệ sự logic thích ngủ phá máy tính,"Điềm tĩnh, sạch sẽ, hiền",ngôn ngữ coi phim anime tập thể dục ngoài trời chiêm tinh học choi game,7,1
948,Nam,Gia Lai,dễ làm quen với bạn mới nhưng thường quen người hợp tính cách mới nói nhiều. huong noi,bún,thích chơi cầu lông pha chế chính trị,Thích 1 mình,holywood nhảy dây bói tử vi,7,8
949,Nữ,Ha Giang,là 1 người ít nói hướng nội một người hướng ngoại làm biếng đam mê học tập dễ tiếp xúc,các món về tôm ăn đồ cay quả phở); thức uống: nước có ga thích ăn món mì cay,nhạc cụ mua sắm trống,"Người vui tính, hòa đồng và hoạt bát ",đi coi phim cờ tướng xem phim làm mô hình,8,2
950,Nam,Thai Nguyen ,hướng nội khi không có ai lúc nói nhiều lúc nói ít,ăn cơm gia đình tự nấu,lắp ráp đi dạo,có thể là người hoạt bát giống mình hoặc ít nói nhưng biết lắng nghe. ,code,1,4
951,Nữ,Hung Yen,thích 1 mình thích sống ở trọ người hướng nội cởi mở tôi thích nói chuyện với mọi người nhưng đồng thời tôi cũng có những lúc thích một mình,không quá kén chọn,mac os thich chơi thể thao võ tập thể dục phim,"Hoà đồng, có ý thức giữ vệ sinh chung, sạch sẽ",game online thích khoa học esports,9,5
952,Nữ,Cao Bang,thích vui chơi mình là một người khá rụt rè khi ở một mình. vui vẻ… lúc nói nhiều lúc nói ít,trà đá canh trứng cà chua trà đào,ios lướt mxh thích nhảy,Sạch sẽ,đạp xe đàn guzheng,3,2
953,Nữ,Thai Binh,ít nói cá tính mạnh ....,bánh mì kẹp các loại espresso các loại mì thích ăn đồ việt nam coffee chill,yoga thích chơi game tháo,Vui tính  thân thiện ,bóng đá đi du lịch nghe nhạc vân vân...,3,4
954,Nữ,Ninh Thuan,hướng ngoài. thích tự lập ưa mạo hiểm hòa đồng không thích đám đông lắm nhưng dễ hòa nhập,cơm gà,chiêm tinh học đếm tiền,Muốn có bạn gái,bơi lội xem tv series,3,8
955,Nữ,Quang Tri,nội tâm thích tìm hiểu là một người khá là trầm tư là một người nhiệt tình,bánh ngọt,đi chơi xem mv ca nhạc ở nhà một mình dọn dẹp hít thở không khí trong lành ở công viên,"Hoà đồng, thấu hiểu, có cùng sở thích là một điểm cộng",thích xem tivi,7,3
956,Nữ,Quang Tri,hướng nội nhưng thích làm social media dễ ngại ngăn nắp dù hay bày bừa (xong rồi dọn ngay) hướng ngoại hướng ngoại part-time,bánh bột lọc ức gà đặc biệt là tôm,các chương trình giải trí trang trí phòng ngủ tấu hài khám phá xung quanh,Không soi mói,học hỏi,8,4
957,Nam,Vung Tau,nói rất nhiều hướng ngoại. hướng ngoại part time,phô mai kéo sợi xúc xích đồ hàn kẹo,lập trình,"người vui tính, hòa đồng, hay ham chơi, hoạt bát, ...
",cafe chơi thể thao anh văn,7,8
958,Nữ,Nam Dinh ,thích 1 mình,rau má mix không quá kén chọn mỳ hoành thánh bánh tráng bún đậu trà sữa,các chương trình giải trí đọc truyện viết code vệ sinh máy tính kiếm tiền,vui vẻ hòa đồng,video game,5,9
959,Nam,Dong Thap,tích cực mình là người hướng nội thích ở 1 mình hoặc có không gian cá nhân hướng nội ít nói nhưng hoà đồng thân thiện quan tâm người khác bán hướng nội ambivert,bò né mỳ xào mỳ quảng chất béo hay phô mai. không ăn được cua :3,đông y ... được ăn ko viết lách,"gọn gàng, trầm tính, cùng chuyên ngành/ sở thích","đi chơi thích hút thuốc thiết kế đi mua sắm

không thích: chạy bộ vi vu dạo phố",3,1
