,Name,Sex,Hometown,Bio_personality,food_drink,hob_inter,smoking,refer_roommate,Cleanliess,Privacy
5245,5245,Nữ,Bac Lieu,người hướng nội cởi mở,ỏi,tám chuyện hóng drama xem phim hàn thích xem phim lướt mxh,không,tích cực không quá kĩ tính,10,10
5246,5246,Nam,Bac Lieu,là người thích ở một mình là một người hướng ngoại nói nhiều thích đi dây đó,mì cay trà sữa ăn đồ ngon cơm trộn ăn được đồ nặng mùi món ăn health,khoa học các hoạt động xã hội,không,mình thích người cùng phòng vui tính luôn ham học hỏi người trung thực người hài hước biết nấu ăn,10,10
5247,5247,Nam,Kien Giang,là một người hướng nội,nem nướng nha trang sinh tố bơ đặc biệt là tôm,tin khoa học làm gốm tập trung nghiên cứu một vấn đề nào đó,Có,biết đều người có tính cách vui vẻ,9,10
5248,5248,Nữ,Kien Giang,nhưng không phải e sợ đám đông ít nói nhiều,trứng ốp la,vẽ,không,có ý thức ăn ở sạch sẽ hoà đồng lịch sự ngoan ngoãn ko quậy phá,7,7
5249,5249,Nam,Quang Tri,cầu toàn hướng ngoại tùy hoàn cảnh ; không thích nơi quá ồn ào ; không thích người nói nhiều ; không thích nói đùa ; nhớ dai nhưng cũng dễ bỏ qua ; không thích chia sẻ tâm sự ; không thích bị quản lý ; hơi vô tâm ; dễ xúc động ; cái tôi cao ; có tham vọng ; hoàn toàn tự hào khi làm tốt 1 công việc được giao hướng ngoại full time là người 50% hướng nội có thể mời người ta đi ăn nếu vui,bò nea quả spaghetti,thích chơi game offline nhảy học công nghệ hacking,không,có chừng mực - vui vẻ,7,9
5250,5250,Nữ,Hoa Binh,thích ở một mình nhưng vẫn hoà đồng giao tiếp tốt với mọi người hiểu biết. mình hk thích sự gượng ép nói nhiều thích đám đông cực đoan,ngũ cốc bún chả,truyện tiếng anh... thiện nguyện đi chơi ngoài trời,không,vui hoà dồng thích công nghệ,8,7
5251,5251,Nữ,An Giang,mình ambivert là một người nội nửa hướng ngoại,món j có topping thì đều thích sushi pizaa ...,ca hát mua sắm mình thích ngôn ngữ,không,ngăn nắp là được có tổ chức để ý tiểu tiết (theo hướng tích cực),9,5
5252,5252,Nam,Ha Tinh,thích tự lập hướng nội,pepsi vị chanh không calo thích ăn mì cay cút lộn rang me,thích động vật khoa học coi anime xem phim bóng rổ,không,hay ham chơi,9,5
5253,5253,Nam,Phu Tho,cá tính mạnh,mùi hương (hành tỏi tiêu ớt sả đầy đủ) lẩy thái hoặc các loại nước có gas thích ăn bánh mì cơm cháy kho quẹt,ngắm bầu trời xem các show giải trí thực tế shopping hội hoạ decor phòng,không,hoạt bát thân thiên vui vẻ,10,7
5254,5254,Nữ,An Giang,tính cách thất thường v.v dễ chịu hướng ngoại ít nói thích ở một mình hướng nội nói nhiều,thịt kho tàu fanta mình ăn thích ăn đồ healthy đồ ăn healthy socola đá xay,hóng drama truyện lướt mạng vi vu dạo phố uống cà phê,không,trầm tính vui vẻ dễ tính sạch sẽ không nóng tính đừng quá bừa bộn,7,8
5255,5255,Nữ,Ca Mau,là người ít nói chuyện nhạy cảm rụt rè,chất béo hay phô mai. không ăn được cua :3 ......... trà sữa của các hạt đậu nước ép trái cây,tiếng anh...,không,tâm lý =))) người hài hước,9,5
5256,5256,Nữ,Quang Nam,tự do linh hoạt,pizza cứ đồ ăn là thích thích caffee,lưới fb mình thích đọc tiểu thuyết và truyện tranh thích hút thuốc ...),không,dễ tính,7,8
5257,5257,Nam,Ha Tinh,ở giữa hướng nội 50% hướng ngoài thích tự do hiếm khi thấy vui v.v,đậu hũ cà chua.,đi chơi,không,công bằng tĩnh lặng hòa đồng thông cảm không có,9,7
5258,5258,Nữ,Ninh Thuan,ồn ào bán hướng nội bán hướng ngoại,nem nướng nha trang,tìm hiểu những kiến thức đa ngành,không,hoà đồng lịch sự ngoan ngoãn ko quậy phá vui tính thân thiện bạn cùng phòng biết lùa gà,8,7
5259,5259,Nữ,An Giang,ngày ngủ đêm bay hướng nội tích cực thích đi dây đó thích đi đây đi đó trải nghiệm những thứ mới mẻ nhưng tùy hứng mình là một người ít nói,bún thịt nướng món nào mình thấy hợp thì đều thích ăn không độ),đánh cầu lông học,không,không ích kỷ vui tính náo nhiệt thích đi chơi biết chia sẻ khi ở chung với nhau thích gọn gàng cởi mở,8,9
5260,5260,Nam,Ha Tinh,dễ ngại hướng nội 35% bạn bè. quyết đoán,beer nước trà các món ăn có nước nước trái cây trà đào thạch sữa,coi anime lướt mxh đọc truyện viết code,không,dẫn tiếp xúc có ý thức mong muốn được ở cùng với người có sở thích khoa học với mình,9,8
5261,5261,Nam,Tien Giang,tự do dễ tính cần cù cọc cằn,bún rêu bánh bèo vị đậm đà😋 thích uống trà sữa,đọc sách thích cầu long. tâm lý học,không,ngành kỹ thuật ý kiến của mình lên bạn cùng phòng dễ chịu 1 người tốt bụng,6,10
5262,5262,Nữ,Phu Tho,hòa đồnh trung lập,lẩu kim chi đồ gì có vị cay đi ăn với bạn mình ăn thích ăn đồ healthy thích bánh sandwich nướng,đọc tiểu thuyết,Có,nói nhiều,8,8
5263,5263,Nam,Vung Tau,nhưng lúc high thì lại muốn nói rất nhiều í nói hướng nội người hướng nội thích được đi chơi,coca các loại trà trái cây,ăn đàn guzheng tụ tập với bạn bè,không,rõ ràng ít nói giàu,5,10
5264,5264,Nữ,Lao Cai,.... nhưng thích trải nghiệm điều mới hòa đồng không thích đám đông lắm nhưng dễ hòa nhập em thích ở tập thể nhưng có không gian riêng. em hướng nội hướng ngoại part time là một người hướng ngoại nói nhiều nửa hướng ngoại,bún buger,nghe nhạc xem phim đi lượn đường tò mò về cách vận hành của xã hội học game nghệ thuật,không,vui vẻ hoà đồng tốt bụng ở sạch sẽ,8,7
5265,5265,Nữ,Quang Nam,là người hướng lung tung một người ít nói hướng nội nửa hướng ngoại ở một mình linh hoạt,ăn đồ tự nấu trà đào,âm nhạc thích chơi cầu lông mình thích đọc tiểu thuyết và truyện tranh,không,hoà đồng lịch sự ngoan ngoãn ko quậy phá mong muốn có một người thích đánh cờ có ý thức,7,9
5266,5266,Nữ,Ha Giang,tìm người người làm đồ án tốt nghiệp chung. giống ví dụ,trái cây lẩu thái các loại đồ ngọt như chè,coi phim chơi cầu lông đồ ăn ngọt mình còn có thể chơi cầu lông nữa,không,có trách nhiệm quan tâm bạn bè người có ý thức hoà đồng.,7,9
5267,5267,Nữ,Ha Giang,thích tìm hiểu những điều bí ẩn nhạy cảm vui vẻ…,lẩu kim chi no ăn cơm thích ăn gà,đi phượt chơi nhạc,không,hoà đồng hoạt bát sạch sẽ 1 người tốt bụng,8,8
5268,5268,Nữ,Ha Tinh,mình là một người hướng ngoại hướng nội nhưng thích làm social media thích ở một mình với gia đình đôi khi ko thích chia sẻ nhiều lắm thích tìm hiểu những điều bí ẩn,không thích ăn cay lắm thích ăn mì cay đồ bình dân hoi. mì ý mình thích ăn tất cả những gì mình thấy ngon. riêng đồ uống thì mình có niềm đam mê sâu sắc với rau má,học hỏi lưới fb mình thích xem phim công nghệ,không,người trung thực vui,10,9
5269,5269,Nữ,Tay Ninh,thích đi đâu đó,sữa chua các loại trà trái cây mình thích trà bí đao ngô gia bún đậu,chơi game đánh bóng bàn lắp ráp sự logic xem anime,Có,bạn cùng phòng biết lùa gà,7,7
5270,5270,Nam,Bac Ninh,dễ tính riêng tư hơi ngại giao tiếp nhưng sẵn sàng học hỏi vui vẻ hoạt bát năng động nhưng hơi hướng nội hướng lung tung,đồ ăn: các món nước (bún espresso thích ăn món mì cay,thích tranh biện,không,dùng đồ của ng khác thì phải biết mượn biết cách giúp đỡ trong những hoàn cảnh éo le( không nhất thiết cùng quê ) thời gian của người khác có thể đấu tranh với sự vô tâm ít nói của mình,10,8
5271,5271,Nữ,Quang Ngai,hoà đồng nhưng cũng thích ở một mình có quy tắc riêng dành thời gian cho bản thân nhiều hơn. nhưng vẫn tham gia clb cũng như đi chơi với bạn bè (nhưng ít lúc hướng nội lúc hướng ngoại,các loại thức ăn nhanh kẹo,tiền võ lập trình vẽ tranh kinh quẻ,không,có ý thức là được nhưng không làm phiền người khác hay nhờ vả. có thể nhanh chóng nắm bắt cảm xúc,9,8
5272,5272,Nữ,Thai Binh,là 1 ng ít nói hướng nội cà thích ở 1 mình,ăn sushi canh kim chi,kiếm tiền chơi hame,không,em thích ở chung với người tôn trọng khoảng cách nhiệt tình o câu chuyện hay tình huống. là người có thể đưa ra lời khuyên nhưng không quá lố thời gian của người khác,10,9
5273,5273,Nam,Hoa Binh,là 1 ng ít nói hướng nội cà thích ở 1 mình nhộn nhịp tùy lúc dễ làm quen với bạn mới nhưng thường quen người hợp tính cách mới nói nhiều.,e thik ăn các loại bánh mỳ thì cái gì mình cũng ghiền nhưng điều kiện là phải nấu ngon nước lọc thịt nướng,nhiếp ảnh ...),không,không cùng cũng không sao đàng hoàng là được thích ăn tư vấn lẫn nhau,10,8
5274,5274,Nam,Dong Thap,hướng nội ít nói,hột vịt lộn rang me thích đồ tự nấu,đọc sách ở nhà một mình,không,mọi thứ rõ ràng thông cảm bạn cùng phòng phải là người hiểu chuyện nhưng đừng quá ồn ào.,9,9
5275,5275,Nam,Binh Thuan,hòa đồnh yêu thiên nhiên không phải hướng nội nhưng không thích chỗ đông người,lẩu bò gà hấp nước mắm trà chanh trân châu không thích ăn cay lắm,đi tản bộ trang điểm,không,gọn gàng. ai đó chịu chơi ngu với t,10,9
5276,5276,Nam,Gia Lai,bạo lọan,bánh . nước coca . mì cay... bông lan trứng muối trứng thích đồ chiên,vận động thể lực (nhẹ) chạy xe cũng không biết thích gì,không,tinh ý sinh hoạt cú đêm giống mình hihi,9,10
5277,5277,Nam,Thanh Hoa,có xu hướng ambivert,các món nhiều gia vị thích ăn mì cay đồ thái trái cây,ngôn ngữ tập thể dục ngoài trời,không,không khó tính biết giữ gìn hoà khí chung có chí cầu tiến bạn cùng phòng phải là người sạch sẽ,7,9
5278,5278,Nữ,Quang Ngai,hướng nội nữa mùa mình là một người hướng nội dễ tính thích gọn gàng,cơm tấm long xuyên bún đậu mắm tôm,hít thở không khí trong lành ở công viên thích coi phim xem tin tức công nghệ cầu lông chạy xe,không,biết nghĩ học giỏi (chung ngành càng tốt) rõ ràng không câu nệ tiểu tiết không ồn ào,7,8
5279,5279,Nữ,Bac Lieu,bán hướng nội ambivert sống cống hiến,thịt xào nấm mèo,bói toán sở thích của mình là thay vì thoát khỏi áp lực,Có,gia han hoà đồng,9,10
5280,5280,Nam,Hoa Binh,tính cách thất thường hiếm khi thấy vui không thích sự ồn ào nội tâm lúc nói nhiều lúc nói ít,tôm chiên bún rêu đồ ăn mà dai dai kiểu như bánh bột lọc hay bánh canh í.,e thik chơi cầu lông đá bóng,không,nhưng không làm phiền người khác hay nhờ vả. có thể nhanh chóng nắm bắt cảm xúc,7,10
5281,5281,Nữ,Binh Thuan,mình là ng dễ giao tiếp ít nói nhưng hay chia sẻ với mn dễ thích nghi ở một mình năng động,uống rượu mình thích ăn tất cả những gì mình thấy ngon. riêng đồ uống thì mình có niềm đam mê sâu sắc với rau má,xem mv ca nhạc coi anime toán học,không,hay ham chơi sống thoáng có tình nghĩa huynh đệ,5,8
5282,5282,Nam,Ha Tinh,người hướng ngoại lúc nói nhiều lúc nói ít khá vui vẻ,"bánh nem nướng nha trang sương sáo các thứ
food: cái gì cũng ăn được. thích rau bánh tráng bún đậu trà sữa",dân chơi hệ điều hành (windows online shopping bóng đá,không,siêng k ồn sau 11h suy đoán tôn trọng không gian chung thằng bạn thích hút thuốc,5,5
5283,5283,Nữ,Binh Thuan,mình là người không thích sự ồn ào,mì trộn ăn đồ tốt cho sức khỏe,hích võ taekwondo,không,cùng nhau đi chill,6,8
5284,5284,Nữ,Binh Phuoc,làm quen nhiều bạn mới người đang học trường fpt,mì ý thích ăn cay,...,không,năng động biết nấu ăn bất kỳ ngành nào cũng được hướng ngoại không tệ nạn,9,7
5285,5285,Nam,Tien Giang,phần hướng nội nhiều hơn .... thoải mái khi gia nhập,"sữa chua mít kẹo 1. tofu
2. bánh mì ( thích mọi loại bánh mì)
3. nước ép",thiện nguyện ios yoga vi vu dạo phố mac os,không,thích nấu ăn,7,7
5286,5286,Nữ,Phu Tho,thích tự lập một người ít nói hướng nội í nói hướng nội,hủ tiếu …. ăn đồ ngon thích ăn bánh mì chanh muối,thích tiếng anh ngắm bầu trời kpop cờ vua,không,mình chỉ cần người đàng hoàng cái tôi lớn) người trung thực,7,7
5287,5287,Nữ,Nam Dinh ,tự do yên tĩnh hướng trung là một người ít nói hướng nội là 1 ng ít nói hướng nội cà thích ở 1 mình,udon sữa chua,các hoạt động xã hội,không,tôn trọng riêng tư,10,10
5288,5288,Nam,Nam Dinh ,náo động vùng trời :),mình ăn uống healthy nền chỉ uống nước ép trái cây rau củ thịt bánh mì kẹp trứng,hít thở không khí trong lành ở công viên game,không,có thói quen dọn dẹp ăn ở sạch sẽ o ban đêm bình thường,7,7
5289,5289,Nữ,Ha Giang,ưa mạo hiểm hoà đồng với mng là 1 ng ít nói hướng nội cà thích ở 1 mình,hầu hết các món con người dùng được cơm gà matcha đá xay,xem phim phong thủy,không,thích ăn ngoài cùng mình bình đẳng thấu hiểu biết chia sẻ công việc trong phòng,5,8
5290,5290,Nữ,Hai Duong,hướng trung thích gọn gàng hướng ngoại ít nói thích ở một mình nội tâm,ăn đồ cay,học tiếng nhật choi game đọc tiểu thuyết,không,thích các hoạt động nhóm biết chia sẻ công việc trong phòng bất kỳ ngành nào cũng được,9,9
5291,5291,Nam,Ninh Binh,thích ở một mình nhưng vẫn hoà đồng giao tiếp tốt với mọi người hướng nội nhưng thích đi chơi vui tính o tập thể,lẩu kim chi đặc biệt là chè mì cay trà sữa,chơi tham gia hoạt động ngoại khoá ko thích gì hết đàn hát,không,sạch sẽ một chút cá tính ít nói thân thiện,9,8
5292,5292,Nữ,Ben Tre,ít nói nhưng hay chia sẻ với mn e là một người khá tự ti đôi khi hướng nội hay ngại,ăn đồ tự nấu đồ cay hàn quốc coca ăn pizza thích ăn,ngủ:)),không,biết giữ gìn hoà khí chung đồng cảm có chí cầu tiến,9,8
5293,5293,Nữ,Bac Lieu,người hướng ngoại linh hoạt hướng nội ít nói thik ở một mình,thức ăn gì ngon đều yêu thích thích ăn những món ăn không quá đậm vị 0 độ canh kim chi thích ăn món mì cay,đạp xe đạp xem bóng đá nói chuyện cùng bạn bè tiền,không,có thói quen dọn dẹp ăn ở sạch sẽ tính cách thẳng thắn nhưng không vô duyên đồ mình sở hữu là được vì mình cũng như vậy. tôn trọng không gian cá nhân,10,7
5294,5294,Nữ,Binh Phuoc,thích tự lập yêu thiên nhiên làm quen nhiều bạn mới thích nơi đông người hướng nội tích cực,nước lọc,mình còn có thể chơi cầu lông nữa,không,không care lắm,10,8
5295,5295,Nữ,Ha Giang,khác trầm,không uống nước ngọt có ga trà ô long coca nước ngọt sữa chua,thích tranh biện chạy bộ thường thức tác phẩm nghệ thuật nghe nhạc mình còn có thể chơi cầu lông nữa,không,trúa hề tiền bạc rõ ràng gọn gàng,5,7
5296,5296,Nam,Hoa Binh,nhiệt tình,nướng hải sản bánh trán trộn,thích ngủ travelling học tiếng nhật xem phim đặc biệt là thích nhạc của sơn tùng m-tp của tự nhiên; thích làm những việc mình muốn (cái này hơi kì nhưng mà đúng),Có,suy đoán không thích chung phòng 1 người vui tính trầm tính ít nói nữa thì quá tuyệt vời,7,10
5297,5297,Nữ,Ninh Thuan,lúc hướng ngoại thích đi lang thang một mình xàm,ăn đồ tốt cho sức khỏe mì các loại mì cay trà sữa không uống nước ngọt có ga,coding xem phim đặc biệt là thích nhạc của sơn tùng m-tp coi phim anime,không,vui vẻ hoà đồng nhưng tôn trọng không gian cá nhân của nhau tiền bạc rõ ràng có kỷ luật có ý thức trầm tính học giỏi hoạt bát,9,8
5298,5298,Nam,Binh Phuoc,là một người hướng nội,sữa của các hạt đậu cũng không biết nữa 😂 các loại thịt nướng,thư giãn,không,tiền bạc rạch ròi ăn mặc ổn học chung ngành tính giống mình sạch sẽ một chút,8,10
5299,5299,Nam,Kien Giang,thích nơi đông người hương ngoại nhưng khó kết bạn với hơi trầm thích đi chơi đây đó nhưng cũng hơi trầm tính khi ở với người lạ,bánh bèo fastfood cơm chiên trứng thức ăn gì ngon đều yêu thích bánh . nước coca . mì cay...,bóng rổ,không,nói nhìu hoà đồng,9,7
5300,5300,Nam,Tien Giang,mê chơi đá gà hướng nội nhưng thích làm social media,thịt kho tàu mì gói bánh căn beer các loại trà trái cây,pokemon tham gia hoạt động ngoại khoá sự logic thích chơi cầu lông,không,ngành kỹ thuật im lặng,7,5
5301,5301,Nữ,Bac Giang,thích khám phá đam mê học tập thích đi chơi cùng những người bạn thân thiết nhưng ít nói,thích ăn mì cay pepsi vị chanh không calo,thiết kế,không,tính tình vui tính tư vấn lẫn nhau vui vẻ nhiệt tình,7,8
5302,5302,Nam,Hoa Binh,tôi thích nói chuyện với mọi người nhưng đồng thời tôi cũng có những lúc thích một mình thích coi phim,buger eatclean,"mình thích xem phim đi mua sắm

không thích: chạy bộ đọc truyện viết code",Có,gọn gàng biết nhậu gọn gàng.,9,7
5303,5303,Nam,Quang Tri,ko thích đi chơi linh hoạt khó giao tiếp hướng nội thích ở một mình,kem ốc quế...,thiên văn học,không,vui tính thân thiện,5,10
5304,5304,Nữ,Ninh Thuan,thích kết bạn hướng nội 35% là người ít nói,snack,học hỏi,không,có thể là người học mỹ thuật hay kinh tế,8,8
5305,5305,Nữ,Thanh Hoa,một người hướng nội nhưng cũng thích xã giao với mọi người hiếm khi thấy vui người hướng ngoại tự do,đồ ăn nhà nấu đồ thái mứt; các loại món nước như hủ tiếu fanta vị nho : d,mình thích hát,không,em thích ở chung với người tôn trọng khoảng cách bình đẳng biết tôn trọng người có ý thức,7,10
5306,5306,Nữ,Hoa Binh,trầm trầm nhưng lúc cần vẫn vui hết mình hướng trung (ambivert) lúc thích một mình,bún nước lèo mỳ hoành thánh cơm đậu hũ dồn thịt xốt cà bông lan trứng muối,hóng drama e thik chơi cầu lông vẽ bị người ta lùa gà,không,tôn trọng không gian riêng tư của người khác để ý tiểu tiết (theo hướng tích cực) tử tế,10,7
5307,5307,Nữ,Hoa Binh,thích làm việc hoà đồng nhưng cũng thích ở một mình,gà phô mai không đặc biệt yêu thích gì hải sản đậu hũ cà chua. ... thật ra thì ngoại trừ rau cần,đàn thích chơi game xem phim edit,không,không quậy phá .. dễ chịu,7,7
5308,5308,Nam,Tay Ninh,thường thích ở một mình cống hiến hết mình thích tự lập tình cảm,cút lộn rang me fast food mì cá tra nhúng giấm drink: (ưu tiên) nước lọc,toán ...),không,tư vấn lẫn nhau biết nghĩ cho người khác có thể đấu tranh với sự vô tâm ít nói của mình dễ tính...,10,5
5309,5309,Nữ,Hoa Binh,không thích nơi đông người mình khá ít nói cũng như là hướng nội nhạy cảm,thích hamburger thích ăn cá thác lác chiên cơm trộn,đi dạo ngắm cây thích học ngôn ngữ anh game online,không,tử tế người ít nói,10,5
5310,5310,Nữ,Ca Mau,ít bạn mình ambivert thích đi các hoạt động xã hội thích một mình nhưng lại sợ cô đơn,sting mì trộn nước ép trái cây không độ),ngủ tụ tập với bạn bè phim đi ăn decor phòng,không,ngăn nắp là được,9,9
5311,5311,Nữ,Hoa Binh,đôi lúc hướng ngoại đôi lúc hướng nội hướng nội ít nói hướng nội 35% hướng nội trầm tính,bánh trán trộn buger 7up socola ăn đồ ngọt uống nước ngọt,võ holywood lưới fb,không,đừng ở dơ,3,7
5312,5312,Nữ,Phu Tho,sợ xã hội dễ làm quen với bạn mới nhưng thường quen người hợp tính cách mới nói nhiều.,đồ hàn không độ) bánh bèo,kĩ thuật,không,"không ồn ào giàu hiểu biết biết cư xử
nói ít thôi
ở sạch sẽ
chia việc nhà
có thể tin tưởng được (tiền bạc)
ngủ đừng ngáy
trình độ xấp xỉ như mình chứ đừng zốt quá nó ô dề lắm :b",9,10
5313,5313,Nữ,Binh Thuan,ít nói chuyện hướng nội nhưng thích đi chơi hướng nội với người ngoài có trách nhiệm hướng ngoại nhung thích ở một mình,mình thích ăn bánh tráng cuốn xoài chua chấm muối ớt chua lè món ăn health,bơi lội ngoại ngữ,không,quan tâm mọi người dễ nói chuyện cầu tiến,10,9
5314,5314,Nữ,Thanh Hoa,sợ xã hội hơi ngại giao tiếp nhưng sẵn sàng học hỏi là 1 ng ít nói hướng nội cà thích ở 1 mình thích tìm hiểu những điều bí ẩn ở giữa hướng nội,bún đậu mắm tôm các loại xôi vs chè bánh kẹp thịt bò với sữa ít mỡ thích ăn mì tômmmmm,xem phim tập thể dục,không,người vui tính biết cách giúp đỡ trong những hoàn cảnh éo le( không nhất thiết cùng quê ) người sống có quy củ,10,8
5315,5315,Nữ,Thanh Hoa,logic,cá dồ kho 0 độ o mỗi buổi sáng,thích chơi game offline câu cá đá bóng tâm lý học,không,cùng tần số sạch sẽ ngăn nắp,8,5
5316,5316,Nữ,Binh Dinh,năng động ....,nước trái cây ăn được đồ nặng mùi,câu cá đá bóng,không,thích ăn ngoài cùng mình cùng ngành hiểu chuyện. một người hiểu biết rộng,9,5
5317,5317,Nam,Hung Yen,thích không gian riêng thích coi phim,thịt bò trà sữaaaaa ức gà 0 độ thịt kho tàu,đi dạo tập trung nghiên cứu một vấn đề nào đó tò mò về cách vận hành của xã hội nghe nhạc mọi lúc mọi nơi ; đọc tiểu thuyết ; thiết kế hình ảnh logo banner poster,không,bạn cùng phòng phải là người sạch sẽ học chung ngành không có ạ,10,10
5318,5318,Nữ,Hai Duong,hòa đồng không thích đám đông lắm nhưng dễ hòa nhập lười giao tiếp...,bánh chuối chiên,tập thể dục ngoài trời,không,sạch sẽ một chút nhưng không làm phiền người khác hay nhờ vả. có thể nhanh chóng nắm bắt cảm xúc,6,7
5319,5319,Nữ,Quang Ngai,lười giao tiếp... hướng ngoài.,"thức ăn có vị cay sương sáo các thứ
food: cái gì cũng ăn được. thích rau",đi chơi ngoài trời hát lập trình thể thao,không,biết giữ gìn hoà khí chung quan tâm mọi người yên tĩnh,7,7
5320,5320,Nam,Kon Tum,em thích ở tập thể nhưng có không gian riêng. em hướng nội hướng ngoại part time dễ làm quen với bạn mới nhưng thường quen người hợp tính cách mới nói nhiều. náo động vùng trời :),hamburger chiên,hít thở không khí trong lành ở công viên thích xem phim yoga xem mv ca nhạc nhảy dây,không,ở sạch người có chính kiến hoặc cùng trường,7,10
5321,5321,Nam,Binh Thuan,hướng nội 35% tùy lúc lười giao tiếp...,mì ý sữa chua mít,chiêm tinh học tiếng anh...,Có,bạn cùng phòng phải là người sạch sẽ cùng chuyên ngành/ sở thích thích nói thật vui tính hòa đồng,5,2
5322,5322,Nữ,Khanh Hoa,náo động vùng trời :) 1 tháng chắc 1-2 lần) để giao lưu ưa mạo hiểm thích đi dây đó,đặc biệt là mì cay bánh canh cá hồi nước rau má,thích tiếng anh tiếng anh gym các hoạt động phải chạy esport,không,người trung thực có ý thức thông cảm,6,8
5323,5323,Nam,Ha Tinh,hướng nội thích không gian yên tĩnh không thích giao tiếp với người lạ thích không gian riêng thích ở một mình không thích nói nhiều,lẩu chay bánh bò ỏi,dân chơi hệ điều hành (windows kinh quẻ đàn đi dạo ngắm cây đàn hát,không,tử tế khong co,10,8
5324,5324,Nam,Thanh Hoa,người suy nghĩ nhiều thích suy diễn mọi chuyện trên đời,nước nha đam bánh tráng các loại cũm được,thích đánh cờ,không,mạnh mẽ hoà đồng. có chí cầu tiến,8,9
5325,5325,Nam,Phu Tho,hay giận vu vơ có lòng tự trọng hướnh ngoại,bún riêu thích đồ chay rau củ,du lịch phim thường thức tác phẩm nghệ thuật chơi nhạc ngắm bầu trời,không,... thoải mái là ổn cùng tần số với mình :)))). thật thà ngành gì cũng được (khác ngành thì dễ nhờ hơn :>),8,8
5326,5326,Nữ,Quang Ngai,vui nhộn là người hướng nội,các loại đồ ngọt như chè eat-clean nước ép,đi du lịch thích đá banh nghe nhạc xem phim đi lượn đường học hỏi mình thích đọc tiểu thuyết và truyện tranh,không,tâm lý ko so đo sạch sẽ không tự tiện ko ồn ào với phá phách là được,10,9
5327,5327,Nam,Hoa Binh,hướng ngoại vui vẻ hòa đồng người hay thay đổi lắng nghe thích kết bạn dễ làm quen với bạn mới nhưng thường quen người hợp tính cách mới nói nhiều.,mì cay đặc biệt là mì cay come gà,hóng drama du lịch thích đọc bóng đá,không,học giỏi (chung ngành càng tốt) trung thực người vui vẻ,2,10
5328,5328,Nữ,Vung Tau,hướng ngoại ít nói thích ở một mình,ăn sushi các món ăn truyền thống hoặc món ăn đường phố việt nam bún cá,nằm dài nghe nhạc thích học ngôn ngữ anh chơi nhạc thích ngủ cà phê,không,không khó tính,8,9
5329,5329,Nữ,Lao Cai,thích có ko gian riêng tư 1 mình hướng ngoại 65% thích sự an toàn dù chạy xe ẩu (ý là cái gì cần phải xảy ra thì phải đảm bảo nó được xảy ra,c2 coca cola… không quá kén chọn món nướng mỳ hoành thánh,o buổi chiều học toán nấu ăn … tham gia hoạt động ngoại khoá,không,tôn trọng không gian riêng tư của người khác có chí cầu tiến biết chia sẻ khi ở chung với nhau tiền bạc rạch ròi thời gian của người khác,8,9
5330,5330,Nữ,Binh Dinh,nói nhiều thích đám đông ngoại thích tự do nhiệt tình có thể đi ăn ngoài nếu được mời,ăn cơm bánh khọt,học tiếng nhật thử nhiều điều mới thích hút thuốc,không,tốt bụng,8,8
5331,5331,Nam,Binh Duong,dễ thích nghi yên tĩnh,nước lọc các món ăn có nước trà sữa mỳ quảng,thích coi phim du lịch hội hoạ đi coi phim,không,không câu nệ tiểu tiết tự cho mình là đúng. biết làm việc nhà dễ chịu trầm tính,6,10
5332,5332,Nữ,Hoa Binh,chia sẽ,dừa dầm........ phở xào mì gói,nhảy đá cầu xem tv series,không,không thảo mai không đòi mói sẻ chia đồng cảm,7,9
5333,5333,Nam,Dak Nong,là một người khá là trầm tư hướng nội thích ở một mình hướng nội + ngoại part time,đồ bình dân hoi. chè bưởi pepsi vị chanh không calo,kinh quẻ thích tranh biện,không,sạch sẽ không bừa bộn nhiệt tình vs mn mình thích bạn cùng phòng hoà đồng chung gu giải trí,8,8
5334,5334,Nữ,Vinh Phuc,cần cù là 1 ng ít nói hướng nội cà thích ở 1 mình,gà nói chung chả giò mì trộn,trống cờ tướng bị người ta lùa gà,không,gọn ràng sạch sẽ trầm tính ít nói nữa thì quá tuyệt vời thấu hiểu bình đẳng miễn bạn cùng phòng biết nói chuyện là được :),8,8
5335,5335,Nam,Vung Tau,hướng ngoại part-time,thích ăn mì tômmmmm đồ cay bún trộn,coi anime tiếng anh nhạc cụ,không,không thảo mai trúa hề sẵn sàng quan tâm chia sẻ có tình nghĩa huynh đệ không nóng tính,8,9
5336,5336,Nữ,Hai Duong,khó giao tiếp dễ thích ứng kiểu người nhanh nhẹn thích ở một mình- lúc thích nói chuyện nhiều người,e thik ăn các loại bánh mỳ snack lẩu bò miến trộn,tìm hiểu về văn hóa các nơi đi đây đi đó với bạn bè( một mình) kinh quẻ đọc sách..,không,biết đều chung ngành sạch sẽ cùng chuyên ngành càng tốt nhưng khác cũng không sao hoà đồng. hài hước nhưng phải có điểm dừng,8,8
5337,5337,Nữ,Thanh Hoa,vui tính ở nhà hướng nội ra đường hướng ngoại 🙄 một người ít nói hướng nội,ăn đồ cay olong bánh ướt,thích hát thiên văn học cờ tướng học hỏi,không,mình mong muốn được ở cùng một người thích tìm hiểu những điều mới lạ,9,2
